Season_ID,Player_ID,Team_ID,G,GS,ThreeP,ThreePA,TwoP,TwoPA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Trp_Dbl
2026,52,22,60,40,96,283,236,453,157,215,44,188,229,86,41,125,159,917,0
2021,53,14,36,36,26,100,275,513,158,214,62,224,110,45,59,74,60,786,0
2022,53,14,40,40,13,70,357,625,174,244,106,288,122,49,90,82,97,927,0
2023,53,14,56,54,19,74,523,888,348,444,195,507,148,59,114,122,146,1451,0
2024,53,14,76,76,29,107,684,1176,421,516,239,722,266,91,178,159,177,1876,2
2026,53,7,20,20,10,37,159,297,59,81,62,159,56,22,33,41,42,407,0
2021,54,18,72,55,171,520,334,691,211,272,59,277,211,82,36,160,129,1392,0
2022,54,18,72,72,215,602,334,643,220,280,62,281,275,105,46,190,164,1533,0
2023,54,18,79,79,213,578,494,963,319,422,47,411,350,125,58,259,186,1946,0
2024,54,18,79,78,190,532,528,1026,423,506,52,378,405,101,42,241,141,2049,0
2025,54,18,79,79,320,811,401,801,415,496,61,389,359,91,51,249,150,2177,0
2026,54,18,54,54,190,465,363,653,303,383,34,244,197,77,45,150,98,1599,0
2021,55,30,26,4,7,24,23,36,13,16,16,35,11,10,4,8,27,80,0
2022,55,30,44,0,14,26,48,83,42,52,33,52,27,5,11,18,58,180,0
2023,55,30,59,8,4,29,67,103,49,67,37,62,34,7,12,15,70,195,0
2024,55,30,50,3,10,41,65,119,29,36,37,57,34,13,11,23,48,189,0
2025,55,30,51,0,10,31,33,57,33,50,18,48,16,9,2,10,30,129,0
2026,55,30,35,1,7,22,48,72,15,21,30,51,31,15,11,19,35,132,0
2021,56,11,24,3,23,71,23,47,18,21,27,43,23,6,5,19,34,133,0
2023,56,10,62,4,73,199,75,115,46,60,56,159,96,28,20,54,134,415,0
2021,57,23,11,0,4,14,0,3,5,6,3,7,2,3,2,3,7,17,0
2025,59,19,44,6,51,129,62,119,28,35,18,45,39,21,4,30,40,305,0
2025,61,20,25,1,0,0,21,31,6,13,14,37,11,1,15,21,32,48,0
2026,61,20,46,4,1,4,32,55,21,28,43,87,22,8,23,27,55,88,0
2021,63,11,20,5,60,157,18,35,7,12,10,58,30,12,5,22,34,223,0
2024,63,3,10,0,11,32,4,14,1,2,7,11,5,1,1,3,3,42,0
2021,65,28,53,31,27,103,107,201,29,41,87,186,47,17,23,46,119,324,0
2026,66,1,40,1,27,69,53,80,14,25,37,44,20,15,13,21,62,201,0
2024,67,25,19,1,8,25,21,46,14,17,14,31,54,11,9,30,40,80,0
2024,68,9,63,38,21,113,211,367,71,119,129,273,120,68,59,84,175,556,0
2025,68,9,59,48,11,49,235,411,91,142,111,192,134,98,40,80,164,594,0
2026,68,9,57,56,6,22,235,440,93,161,120,214,167,109,49,82,155,581,0
2022,69,14,61,19,53,167,93,151,99,118,45,148,110,29,20,40,87,444,1
2023,69,14,64,22,86,216,173,274,229,265,33,160,215,33,19,99,108,833,0
2024,69,14,82,57,154,420,303,520,232,272,57,295,450,66,25,174,153,1300,1
2025,69,14,73,73,200,531,277,506,321,366,61,268,421,81,22,177,151,1475,1
2026,69,14,37,31,87,235,183,311,241,275,24,151,200,39,13,115,81,868,0
2022,70,8,67,18,79,231,67,119,32,44,19,95,90,51,6,54,121,403,0
2023,70,18,52,10,43,123,48,86,30,39,5,78,75,28,4,23,80,255,0
2022,71,14,62,45,82,210,66,140,16,18,31,105,47,53,9,38,118,394,0
2022,73,5,77,40,70,186,208,349,53,78,27,187,256,60,29,108,182,679,0
2023,73,5,80,51,59,189,222,381,66,82,45,175,206,62,26,99,182,687,0
2024,73,5,76,37,119,295,241,424,85,105,54,162,242,68,36,103,166,924,0
2025,73,5,46,26,62,189,159,260,62,79,26,135,208,43,18,69,105,566,1
2021,75,16,64,64,2,8,454,792,283,354,142,431,346,75,66,169,145,1197,2
2022,75,16,56,56,0,6,406,723,256,340,137,427,190,80,44,148,171,1068,0
2023,75,16,75,75,1,12,601,1102,324,402,184,504,240,88,61,187,208,1529,0
2024,75,16,71,71,15,42,515,975,292,387,159,578,278,81,66,162,159,1367,2
2025,75,16,78,78,79,221,461,892,251,328,185,564,337,98,53,161,162,1410,1
2026,75,16,56,56,90,275,289,572,206,268,116,435,160,61,38,94,97,1054,0
2025,76,2,31,2,26,82,13,28,9,12,19,46,33,17,2,12,22,113,0
2026,76,2,58,16,57,151,39,60,16,18,33,145,71,32,5,31,80,265,0
2022,77,25,64,6,151,417,65,122,72,88,12,91,59,38,10,55,103,655,0
2026,78,3,27,5,13,54,34,79,28,37,8,31,72,19,4,50,34,135,0
2024,79,12,57,1,49,156,41,73,23,26,15,74,53,33,2,15,88,252,0
2025,79,12,63,9,68,199,52,88,24,27,44,133,85,38,14,22,125,332,0
2026,79,12,52,19,67,194,63,121,34,45,30,131,96,32,4,32,89,361,0
2021,80,23,58,58,3,10,322,573,176,287,93,324,401,93,35,173,171,829,4
2023,80,3,42,33,0,2,133,233,25,57,40,223,256,54,24,97,139,291,1
2024,80,3,15,12,0,0,43,74,6,15,31,88,86,12,9,27,36,92,0
2023,81,12,78,17,100,310,313,641,376,454,87,231,116,48,13,152,162,1302,0
2024,81,12,59,19,80,214,216,449,184,224,60,174,119,35,14,97,117,856,0
2025,81,12,72,49,98,288,293,565,276,332,87,296,136,47,24,135,162,1156,0
2024,82,30,63,15,64,185,124,247,92,131,56,200,110,57,48,87,137,532,0
2025,82,30,59,59,63,224,200,400,138,185,91,203,199,78,41,125,139,727,1
2026,82,30,42,42,43,145,111,221,91,125,35,146,106,60,40,62,104,442,0
2021,83,4,66,36,0,1,142,241,47,105,137,210,81,17,74,71,141,331,0
2022,83,24,36,3,0,0,86,145,38,71,63,104,23,12,26,25,70,210,0
2023,83,24,61,14,0,0,119,206,25,70,89,171,56,18,88,51,114,263,0
2025,83,27,28,26,0,0,67,114,10,25,43,115,31,16,23,27,52,144,0
2026,83,27,18,1,0,0,6,9,4,5,4,11,5,4,1,5,20,16,0
2022,84,3,56,24,38,145,95,168,55,76,60,168,105,27,14,31,95,359,0
2023,84,2,41,16,23,66,40,64,21,32,47,108,61,14,9,22,75,170,0
2023,86,27,37,1,20,52,49,163,26,44,12,69,98,25,5,65,67,184,0
2024,86,27,61,3,12,55,90,160,52,78,18,76,166,29,9,55,89,268,0
2025,86,27,58,0,17,58,64,128,38,61,17,44,114,37,6,54,46,217,0
2026,86,25,20,0,10,30,34,66,18,33,7,22,51,16,3,25,28,116,0
2021,87,7,33,3,1,8,61,114,31,38,47,81,10,2,6,12,29,156,0
2022,87,7,23,0,1,4,41,66,13,22,8,31,3,0,3,15,24,98,0
2023,87,11,31,0,0,1,41,59,20,27,20,40,9,5,2,14,10,102,0
2024,87,11,14,0,0,2,18,32,9,14,7,25,6,1,2,5,5,45,0
2021,88,17,66,7,74,157,239,441,54,73,124,342,71,52,26,56,115,754,0
2022,88,17,72,59,133,338,284,533,85,113,180,477,86,53,51,90,174,1052,0
2023,88,17,70,22,95,257,303,546,96,125,154,518,105,29,16,81,115,987,0
2024,88,17,82,4,100,246,366,672,98,124,142,465,104,68,34,91,189,1130,0
2025,88,17,49,7,65,178,212,417,61,73,90,321,104,35,26,57,94,680,0
2026,88,17,60,9,116,256,202,390,42,57,78,298,91,32,11,61,100,794,0
2026,89,9,10,0,3,12,4,12,0,3,5,13,4,3,0,5,11,17,0
2021,90,1,44,27,146,333,121,232,40,44,20,140,147,49,13,54,99,720,0
2022,90,1,63,27,169,459,173,335,97,115,29,221,194,68,14,70,132,950,0
2023,90,1,54,9,146,360,127,251,64,77,23,142,150,43,18,65,86,756,0
2024,90,1,79,33,240,641,231,459,151,164,53,219,247,96,26,112,179,1333,0
2026,90,13,18,3,25,78,22,50,19,23,6,47,48,10,1,24,41,138,0
2021,91,29,72,72,180,461,226,464,233,265,40,241,136,45,4,128,115,1225,0
2022,91,29,69,69,181,468,241,460,223,260,58,238,120,34,1,118,116,1248,0
2023,91,9,59,59,145,353,285,529,268,303,36,187,152,34,8,135,113,1273,0
2021,92,8,32,2,9,24,16,34,10,15,0,24,7,3,10,13,14,69,0
2022,92,8,14,0,1,4,14,23,2,5,4,16,5,1,2,4,4,33,0
2023,92,22,70,33,30,113,231,365,82,108,69,336,69,30,85,112,92,634,0
2024,92,24,43,0,22,52,71,99,15,19,32,105,17,10,25,19,42,223,0
2025,92,24,36,10,32,93,64,90,20,26,20,84,22,9,25,20,20,244,0
2022,93,8,69,4,131,358,99,213,107,125,14,174,191,41,20,86,153,698,0
2024,93,13,37,5,44,135,53,116,18,23,5,50,93,26,4,44,51,256,0
2026,93,18,55,3,73,192,67,118,37,51,20,74,139,30,11,47,95,390,0
2021,95,30,60,60,130,373,540,1009,408,459,72,211,265,69,22,187,140,1878,0
2022,95,30,40,40,63,210,285,561,169,203,38,151,265,36,15,135,95,928,0
2023,95,30,50,50,80,219,364,659,192,228,41,155,271,45,33,145,107,1160,0
2024,95,24,53,53,101,235,276,500,109,134,54,178,265,52,27,131,127,964,0
2025,95,24,53,38,102,264,243,430,110,137,34,143,195,58,28,99,136,902,0
2025,96,21,32,0,22,66,21,31,14,18,17,37,14,5,21,7,22,122,0
2026,96,21,35,2,21,61,49,73,9,17,24,68,21,6,18,13,30,170,0
2024,97,10,74,28,90,234,181,363,50,79,118,309,273,61,14,88,122,682,0
2025,97,10,64,33,115,309,165,320,72,95,65,260,220,69,13,75,95,747,0
2026,97,10,63,24,109,300,179,343,114,148,59,267,234,69,11,96,113,799,0
2022,98,13,51,0,34,111,91,214,59,72,17,94,51,26,13,31,43,343,0
2023,98,13,22,1,12,29,39,93,29,38,7,23,20,9,0,12,21,143,0
2024,98,13,32,0,14,52,51,109,23,33,19,33,13,11,8,24,40,167,0
2025,98,19,42,10,49,140,117,241,67,85,28,106,92,53,9,52,73,448,0
2021,99,15,59,16,20,77,236,418,78,113,97,231,95,60,51,33,84,610,0
2022,99,15,64,1,5,22,283,425,85,130,135,207,86,39,68,34,122,666,0
2023,99,15,56,8,1,6,228,343,99,137,92,218,72,34,37,55,131,558,0
2025,99,15,64,18,1,17,235,363,61,87,127,199,66,52,36,41,145,534,0
2021,100,1,47,5,32,103,52,120,28,43,8,61,95,17,0,36,41,228,0
2022,100,6,36,5,19,55,45,99,24,38,14,53,91,25,1,36,39,171,0
2021,101,19,61,61,143,375,370,726,281,320,34,265,296,42,36,154,124,1450,0
2022,101,19,55,55,74,226,379,757,266,322,35,285,307,34,26,151,119,1246,0
2023,101,19,45,45,64,164,340,671,240,272,23,223,262,32,19,148,116,1112,2
2024,101,19,64,64,86,242,414,775,246,307,43,281,363,50,40,163,145,1332,1
2025,101,19,18,18,43,115,112,218,47,55,17,83,93,16,11,69,45,400,0
2026,101,28,60,60,107,287,382,750,228,277,48,295,227,46,46,147,116,1313,0
2024,103,4,74,68,184,493,292,590,143,173,60,255,175,66,42,132,184,1279,0
2025,103,4,27,27,104,293,94,198,68,79,25,106,98,29,20,76,74,568,0
2026,103,4,47,47,147,387,192,393,155,174,53,180,159,51,39,135,132,980,0
