"",Season,Date,Score,Excitment,Tension,Comeback,MVP,LVP
111,2024,2024-11-06,"GSW 118, BOS 112",8.6,85.0,7.0,J. Tatum: +26.4%,J. Holiday: -10.8%
112,2024,2024-11-06,"MIA 112, PHX 115",8.5,89.4,13.2,H. Highsmith: +36.3%,T. Rozier: -24.3%
113,2024,2024-11-06,"TOR 107, SAC 122",7.0,87.4,2.9,D. DeRozan: +26.1%,G. Dick: -7.4%
114,2024,2024-11-06,"ORL 111, IND 118",6.8,83.4,1.3,J. Walker: +34.7%,F. Wagner: -9.6%
115,2024,2024-11-06,"CLE 131, NOP 122",5.9,76.1,3.2,J. Alvarado: +14.0%,J. Hawkins: -3.6%
116,2024,2024-11-06,"LAL 114, MEM 131",4.9,67.0,1.0,L. James: +19.6%,G. Vincent: -7.8%
117,2024,2024-11-06,"PHI 98, LAC 110",4.5,74.0,1.8,N. Powell: +19.1%,E. Gordon: -13.2%
118,2024,2024-11-06,"CHI 99, DAL 119",3.2,49.3,1.2,D. Gafford: +11.6%,C. White: -16.7%
119,2024,2024-11-06,"SAS 100, HOU 127",2.3,39.7,1.0,F. VanVleet: +9.9%,V. Wembanyama: -7.4%
120,2024,2024-11-07,"MIN 135, CHI 119",6.7,78.3,4.7,R. Gobert: +25.3%,M. Buzelis: -7.0%
121,2024,2024-11-07,"POR 105, SAS 118",5.8,74.7,1.2,J. Grant: +16.4%,D. Banton: -8.9%
122,2024,2024-11-07,"UTA 100, MIL 123",5.0,72.3,2.8,D. Lillard: +21.3%,K. George: -12.9%
123,2024,2024-11-08,"BKN 104, BOS 108",11.1,90.6,4.0,C. Johnson: +26.2%,D. Finney-Smith: -16.1%
124,2024,2024-11-08,"PHX 114, DAL 113",9.7,89.7,4.8,J. Nurki?: +70.2%,B. Beal: -15.9%
125,2024,2024-11-08,"ATL 121, DET 122",8.1,68.8,1.8,T. Young: +34.9%,O. Okongwu: -15.8%
126,2024,2024-11-08,"IND 83, CHA 103",6.3,83.2,7.6,B. Miller: +38.7%,T. Salaün: -13.5%
127,2024,2024-11-08,"LAC 107, SAC 98",5.5,76.8,1.2,N. Powell: +24.1%,J. Harden: -7.7%
128,2024,2024-11-08,"PHI 106, LAL 116",4.3,61.4,1.2,A. Reaves: +20.8%,D. Knecht: -7.7%
129,2024,2024-11-08,"MIA 122, DEN 135",4.0,55.9,1.0,C. Braun: +17.7%,J. Strawther: -3.9%
130,2024,2024-11-08,"NOP 88, ORL 115",3.9,56.4,1.0,G. Bitadze: +12.6%,J. Suggs: -10.6%
131,2024,2024-11-08,"POR 102, MIN 127",3.1,46.0,1.0,A. Edwards: +16.2%,A. Simons: -7.1%
132,2024,2024-11-08,"MIL 94, NYK 116",2.9,50.8,1.0,K. Towns: +18.8%,B. Portis: -4.1%
133,2024,2024-11-08,"WAS 104, MEM 128",2.7,41.1,1.2,J. Jackson Jr.: +9.7%,A. Sarr: -8.7%
134,2024,2024-11-08,"HOU 107, OKC 126",2.5,42.1,1.3,C. Holmgren: +13.2%,A. Thompson: -4.3%
135,2024,2024-11-08,"GSW 117, CLE 136",1.5,25.6,1.0,I. Okoro: +6.5%,D. Melton: -4.2%
136,2024,2024-11-09,"UTA 111, SAS 110",9.3,90.9,1.5,C. Sexton: +36.7%,C. Paul: -16.4%
137,2024,2024-11-09,"TOR 103, LAC 105",8.6,82.3,1.1,C. Boucher: +23.3%,R. Barrett: -21.8%
138,2024,2024-11-09,"CHI 125, ATL 113",7.4,76.3,10.6,A. Dosunmu: +13.2%,T. Young: -18.5%
139,2024,2024-11-09,"BKN 100, CLE 105",7.0,80.1,18.1,D. Garland: +30.5%,C. Thomas: -19.2%
140,2024,2024-11-10,"CHA 105, PHI 107",11.6,84.6,2.3,L. Ball: +45.7%,P. George: -30.5%
141,2024,2024-11-10,"SAC 127, PHX 118",10.6,87.2,10.9,K. Murray: +53.5%,J. Nurki?: -8.8%
142,2024,2024-11-10,"MIA 95, MIN 94",10.0,90.1,17.7,N. Jovi?: +55.6%,M. Conley: -61.8%
143,2024,2024-11-10,"HOU 101, DET 99",9.8,87.0,2.1,T. Eason: +21.9%,J. Ivey: -57.4%
144,2024,2024-11-10,"DAL 120, DEN 122",9.6,95.3,5.1,K. Irving: +66.8%,J. Hardy: -17.5%
145,2024,2024-11-10,"BOS 113, MIL 107",7.8,84.6,7.0,G. Antetokounmpo: +37.0%,D. Lillard: -19.5%
146,2024,2024-11-10,"NYK 121, IND 132",7.3,87.2,3.7,B. Mathurin: +44.2%,M. Bridges: -9.1%
147,2024,2024-11-10,"TOR 103, LAL 123",5.7,75.8,3.2,A. Davis: +19.1%,R. Hachimura: -11.5%
148,2024,2024-11-10,"GSW 127, OKC 116",4.4,56.5,1.9,J. Kuminga: +19.2%,S. Gilgeous-Alexander: -11.0%
149,2024,2024-11-10,"WAS 94, ORL 121",4.2,59.3,1.3,F. Wagner: +13.4%,C. Kispert: -9.1%
150,2024,2024-11-10,"MEM 134, POR 89",2.1,33.8,1.1,J. LaRavia: +7.6%,A. Simons: -10.4%
151,2024,2024-11-11,"BKN 107, NOP 105",9.5,92.4,12.2,C. Thomas: +43.3%,B. Ingram: -20.7%
152,2024,2024-11-11,"CLE 119, CHI 113",8.1,87.8,4.4,D. Mitchell: +28.3%,S. Merrill: -13.4%
153,2024,2024-11-11,"LAC 128, OKC 134",6.8,73.6,1.4,S. Gilgeous-Alexander: +45.6%,J. Harden: -13.1%
154,2024,2024-11-11,"WAS 92, HOU 107",5.1,66.6,1.1,A. Sengun: +12.8%,J. Poole: -19.1%
155,2024,2024-11-11,"SAC 96, SAS 116",4.6,66.9,2.2,C. Paul: +12.4%,K. Huerter: -10.3%
156,2024,2024-11-12,"MIA 121, DET 123",10.6,78.2,11.7,M. Beasley: +63.8%,C. Cunningham: -49.3%
157,2024,2024-11-12,"ATL 117, BOS 116",10.3,87.2,15.2,D. White: +59.1%,J. Tatum: -16.8%
158,2024,2024-11-12,"DAL 117, GSW 120",9.4,89.4,12.9,S. Curry: +34.8%,L. Don?i?: -22.0%
159,2024,2024-11-12,"NYK 111, PHI 99",5.7,78.4,1.1,O. Anunoby: +20.4%,G. Yabusele: -18.4%
160,2024,2024-11-12,"TOR 85, MIL 99",5.1,67.8,1.0,G. Dick: +12.1%,R. Barrett: -22.6%
161,2024,2024-11-12,"PHX 120, UTA 112",4.8,61.5,1.0,B. Beal: +17.5%,C. Williams: -5.0%
162,2024,2024-11-12,"MIN 108, POR 122",4.3,58.6,1.2,R. Williams III: +16.4%,J. Randle: -8.4%
163,2024,2024-11-12,"CHA 89, ORL 114",4.0,55.9,1.3,F. Wagner: +14.4%,B. Miller: -16.2%
164,2024,2024-11-13,"DET 120, MIL 127",10.3,79.3,17.2,G. Antetokounmpo: +51.1%,C. Cunningham: -19.7%
165,2024,2024-11-13,"CHI 124, NYK 123",8.8,73.7,8.5,C. White: +71.9%,Z. LaVine: -7.9%
166,2024,2024-11-13,"MEM 123, LAL 128",8.0,81.7,4.4,D. Knecht: +28.7%,G. Vincent: -10.1%
167,2024,2024-11-13,"CLE 114, PHI 106",7.4,86.9,2.9,D. Mitchell: +21.6%,K. Lowry: -11.8%
168,2024,2024-11-13,"MIN 98, POR 106",7.1,82.9,3.4,S. Sharpe: +15.1%,D. DiVincenzo: -14.4%
169,2024,2024-11-13,"IND 90, ORL 94",7.0,84.1,3.3,P. Siakam: +21.9%,J. Suggs: -22.0%
170,2024,2024-11-13,"LAC 103, HOU 111",6.0,73.0,2.4,D. Jones Jr.: +10.8%,N. Powell: -9.5%
171,2024,2024-11-13,"PHX 104, SAC 127",5.4,71.0,1.7,J. Okogie: +17.7%,M. Plumlee: -14.4%
172,2024,2024-11-13,"WAS 130, SAS 139",5.1,67.5,1.5,V. Wembanyama: +43.5%,A. Sarr: -4.1%
173,2024,2024-11-13,"NOP 88, OKC 106",4.6,64.0,2.3,J. Williams: +21.8%,B. Ingram: -16.9%
174,2024,2024-11-13,"BOS 139, BKN 114",4.5,66.5,2.7,J. Tatum: +25.3%,D. White: -3.4%
175,2024,2024-11-14,"DAL 113, UTA 115",8.3,82.7,2.4,J. Clarkson: +36.4%,J. Hardy: -17.0%
